One,Two,Three,Four,Key
1.744340879,11.90909091,131,1.048,a
1.757656458,12,132,1.056,s
1.770972037,12.09090909,133,1.064,d
1.784287617,12.18181818,134,1.072,f
1.797603196,12.27272727,135,1.08,g
1.810918775,12.36363636,136,1.088,h
1.824234354,12.45454545,137,1.096,j
1.837549933,12.54545455,138,1.104,k
1.850865513,12.63636364,139,1.112,l
1.864181092,12.72727273,140,1.12,z
1.877496671,12.81818182,141,1.128,x
1.89081225,12.90909091,142,1.136,c
1.90412783,13,143,1.144,v
1.917443409,13.09090909,144,1.152,b
1.930758988,13.18181818,145,1.16,n
1.944074567,13.27272727,146,1.168,m
1.957390146,13.36363636,147,1.176,j
1.970705726,13.45454545,148,1.184,k
1.984021305,13.54545455,149,1.192,l
1.997336884,13.63636364,150,1.2,z
2.010652463,13.72727273,151,1.208,f
2.023968043,13.81818182,152,1.216,g
2.037283622,13.90909091,153,1.224,v
2.050599201,14,154,1.232,b
2.06391478,14.09090909,155,1.24,n
2.07723036,14.18181818,156,1.248,m
2.090545939,14.27272727,157,1.256,a
2.103861518,14.36363636,158,1.264,b
2.117177097,14.45454545,159,1.272,f
2.130492676,14.54545455,160,1.28,q
2.143808256,14.63636364,161,1.288,w
2.157123835,14.72727273,162,1.296,e
2.170439414,14.81818182,163,1.304,r
2.183754993,14.90909091,164,1.312,t
2.197070573,15,165,1.32,y
2.210386152,15.09090909,166,1.328,u
2.223701731,15.18181818,167,1.336,i
2.23701731,15.27272727,168,1.344,o
2.250332889,15.36363636,169,1.352,p
2.263648469,15.45454545,170,1.36,a
2.276964048,15.54545455,171,1.368,s
2.290279627,15.63636364,172,1.376,d
2.303595206,15.72727273,173,1.384,f
2.316910786,15.81818182,174,1.392,g
2.330226365,15.90909091,175,1.4,h
2.343541944,16,176,1.408,j
2.356857523,16.09090909,177,1.416,k
2.370173103,16.18181818,178,1.424,l
2.383488682,16.27272727,179,1.432,z
2.396804261,16.36363636,180,1.44,x
2.41011984,16.45454545,181,1.448,c
2.423435419,16.54545455,182,1.456,v
2.436750999,16.63636364,183,1.464,b
2.450066578,16.72727273,184,1.472,n
2.463382157,16.81818182,185,1.48,m
2.476697736,16.90909091,186,1.488,j
2.490013316,17,187,1.496,k
2.503328895,17.09090909,188,1.504,l
2.516644474,17.18181818,189,1.512,z
2.529960053,17.27272727,190,1.52,f
2.543275632,17.36363636,191,1.528,g
2.556591212,17.45454545,192,1.536,v
2.569906791,17.54545455,193,1.544,b
2.58322237,17.63636364,194,1.552,n
2.596537949,17.72727273,195,1.56,m
2.609853529,17.81818182,196,1.568,a
2.623169108,17.90909091,197,1.576,b
2.636484687,18,198,1.584,f
2.649800266,18.09090909,199,1.592,q
2.663115846,18.18181818,200,1.6,w
2.676431425,18.27272727,201,1.608,e
2.689747004,18.36363636,202,1.616,r
2.703062583,18.45454545,203,1.624,t
2.716378162,18.54545455,204,1.632,y
2.729693742,18.63636364,205,1.64,u
2.743009321,18.72727273,206,1.648,i
2.7563249,18.81818182,207,1.656,o
2.769640479,18.90909091,208,1.664,p
2.782956059,19,209,1.672,a
2.796271638,19.09090909,210,1.68,s
2.809587217,19.18181818,211,1.688,d
2.822902796,19.27272727,212,1.696,f
2.836218375,19.36363636,213,1.704,g
2.849533955,19.45454545,214,1.712,h
2.862849534,19.54545455,215,1.72,j
2.876165113,19.63636364,216,1.728,k
2.889480692,19.72727273,217,1.736,l
2.902796272,19.81818182,218,1.744,z
2.916111851,19.90909091,219,1.752,x
2.92942743,20,220,1.76,c
2.942743009,20.09090909,221,1.768,v
2.956058589,20.18181818,222,1.776,b
2.969374168,20.27272727,223,1.784,n
2.982689747,20.36363636,224,1.792,m
2.996005326,20.45454545,225,1.8,j
3.009320905,20.54545455,226,1.808,k
3.022636485,20.63636364,227,1.816,l
3.035952064,20.72727273,228,1.824,z
3.049267643,20.81818182,229,1.832,f
3.062583222,20.90909091,230,1.84,g
3.075898802,21,231,1.848,v
3.089214381,21.09090909,232,1.856,b
3.10252996,21.18181818,233,1.864,n
3.115845539,21.27272727,234,1.872,m
3.129161119,21.36363636,235,1.88,a
3.142476698,21.45454545,236,1.888,b
3.155792277,21.54545455,237,1.896,f
3.169107856,21.63636364,238,1.904,q
3.182423435,21.72727273,239,1.912,w
3.195739015,21.81818182,240,1.92,e
3.209054594,21.90909091,241,1.928,r
3.222370173,22,242,1.936,t
3.235685752,22.09090909,243,1.944,y
3.249001332,22.18181818,244,1.952,u
3.262316911,22.27272727,245,1.96,i
3.27563249,22.36363636,246,1.968,o
3.288948069,22.45454545,247,1.976,p
3.302263648,22.54545455,248,1.984,a
3.315579228,22.63636364,249,1.992,s
3.328894807,22.72727273,250,2,d
3.342210386,22.81818182,251,2.008,f
3.355525965,22.90909091,252,2.016,g
3.368841545,23,253,2.024,h
3.382157124,23.09090909,254,2.032,j
3.395472703,23.18181818,255,2.04,k
3.408788282,23.27272727,256,2.048,l
3.422103862,23.36363636,257,2.056,z
3.435419441,23.45454545,258,2.064,x
3.44873502,23.54545455,259,2.072,c
3.462050599,23.63636364,260,2.08,v
3.475366178,23.72727273,261,2.088,b
3.488681758,23.81818182,262,2.096,n
3.501997337,23.90909091,263,2.104,m
3.515312916,24,264,2.112,j
3.528628495,24.09090909,265,2.12,k
3.541944075,24.18181818,266,2.128,l
3.555259654,24.27272727,267,2.136,z
3.568575233,24.36363636,268,2.144,f
3.581890812,24.45454545,269,2.152,g
3.595206391,24.54545455,270,2.16,v
3.608521971,24.63636364,271,2.168,b
3.62183755,24.72727273,272,2.176,n
3.635153129,24.81818182,273,2.184,m
3.648468708,24.90909091,274,2.192,a
3.661784288,25,275,2.2,b
3.675099867,25.09090909,276,2.208,f
3.688415446,25.18181818,277,2.216,q
3.701731025,25.27272727,278,2.224,w
3.715046605,25.36363636,279,2.232,e
3.728362184,25.45454545,280,2.24,r
3.741677763,25.54545455,281,2.248,t
3.754993342,25.63636364,282,2.256,y
3.768308921,25.72727273,283,2.264,u
3.781624501,25.81818182,284,2.272,i
3.79494008,25.90909091,285,2.28,o
3.808255659,26,286,2.288,p
3.821571238,26.09090909,287,2.296,a
3.834886818,26.18181818,288,2.304,s
3.848202397,26.27272727,289,2.312,d
3.861517976,26.36363636,290,2.32,f
3.874833555,26.45454545,291,2.328,g
3.888149134,26.54545455,292,2.336,h
3.901464714,26.63636364,293,2.344,j
3.914780293,26.72727273,294,2.352,k
3.928095872,26.81818182,295,2.36,l
3.941411451,26.90909091,296,2.368,z
3.954727031,27,297,2.376,x
3.96804261,27.09090909,298,2.384,c
3.981358189,27.18181818,299,2.392,v
3.994673768,27.27272727,300,2.4,b
4.007989348,27.36363636,301,2.408,n
4.021304927,27.45454545,302,2.416,m
4.034620506,27.54545455,303,2.424,j
4.047936085,27.63636364,304,2.432,k
4.061251664,27.72727273,305,2.44,l
4.074567244,27.81818182,306,2.448,z
4.087882823,27.90909091,307,2.456,f
4.101198402,28,308,2.464,g
4.114513981,28.09090909,309,2.472,v
4.127829561,28.18181818,310,2.48,b
4.14114514,28.27272727,311,2.488,n
4.154460719,28.36363636,312,2.496,m
4.167776298,28.45454545,313,2.504,a
4.181091877,28.54545455,314,2.512,b
4.194407457,28.63636364,315,2.52,f
4.207723036,28.72727273,316,2.528,q
4.221038615,28.81818182,317,2.536,w
4.234354194,28.90909091,318,2.544,e
4.247669774,29,319,2.552,r
4.260985353,29.09090909,320,2.56,t
4.274300932,29.18181818,321,2.568,y
4.287616511,29.27272727,322,2.576,u
4.300932091,29.36363636,323,2.584,i
4.31424767,29.45454545,324,2.592,o
4.327563249,29.54545455,325,2.6,p
4.340878828,29.63636364,326,2.608,a
4.354194407,29.72727273,327,2.616,s
4.367509987,29.81818182,328,2.624,d
4.380825566,29.90909091,329,2.632,f
4.394141145,30,330,2.64,g
4.407456724,30.09090909,331,2.648,h
4.420772304,30.18181818,332,2.656,j
4.434087883,30.27272727,333,2.664,k
4.447403462,30.36363636,334,2.672,l
4.460719041,30.45454545,335,2.68,z
4.474034621,30.54545455,336,2.688,x
4.4873502,30.63636364,337,2.696,c
4.500665779,30.72727273,338,2.704,v
4.513981358,30.81818182,339,2.712,b
4.527296937,30.90909091,340,2.72,n
4.540612517,31,341,2.728,m
4.553928096,31.09090909,342,2.736,j
4.567243675,31.18181818,343,2.744,k
4.580559254,31.27272727,344,2.752,l
4.593874834,31.36363636,345,2.76,z
4.607190413,31.45454545,346,2.768,f
4.620505992,31.54545455,347,2.776,g
4.633821571,31.63636364,348,2.784,v
4.64713715,31.72727273,349,2.792,b
4.66045273,31.81818182,350,2.8,n
4.673768309,31.90909091,351,2.808,m
4.687083888,32,352,2.816,a
4.700399467,32.09090909,353,2.824,b
4.713715047,32.18181818,354,2.832,f
4.727030626,32.27272727,355,2.84,q
4.740346205,32.36363636,356,2.848,w
4.753661784,32.45454545,357,2.856,e
4.766977364,32.54545455,358,2.864,r
4.780292943,32.63636364,359,2.872,t
4.793608522,32.72727273,360,2.88,y
4.806924101,32.81818182,361,2.888,u
4.82023968,32.90909091,362,2.896,i
4.83355526,33,363,2.904,o
4.846870839,33.09090909,364,2.912,p
4.860186418,33.18181818,365,2.92,a
4.873501997,33.27272727,366,2.928,s
4.886817577,33.36363636,367,2.936,d
4.900133156,33.45454545,368,2.944,f
4.913448735,33.54545455,369,2.952,g
4.926764314,33.63636364,370,2.96,h
4.940079893,33.72727273,371,2.968,j
4.953395473,33.81818182,372,2.976,k
4.966711052,33.90909091,373,2.984,l
4.980026631,34,374,2.992,z
4.99334221,34.09090909,375,3,x
5.00665779,34.18181818,376,3.008,c
5.019973369,34.27272727,377,3.016,v
5.033288948,34.36363636,378,3.024,b
5.046604527,34.45454545,379,3.032,n
5.059920107,34.54545455,380,3.04,m
5.073235686,34.63636364,381,3.048,j
5.086551265,34.72727273,382,3.056,k
5.099866844,34.81818182,383,3.064,l
5.113182423,34.90909091,384,3.072,z
5.126498003,35,385,3.08,f
5.139813582,35.09090909,386,3.088,g
5.153129161,35.18181818,387,3.096,v
5.16644474,35.27272727,388,3.104,b
5.17976032,35.36363636,389,3.112,n
5.193075899,35.45454545,390,3.12,m
5.206391478,35.54545455,391,3.128,a
5.219707057,35.63636364,392,3.136,b
5.233022636,35.72727273,393,3.144,f
5.246338216,35.81818182,394,3.152,q
5.259653795,35.90909091,395,3.16,w
5.272969374,36,396,3.168,e
5.286284953,36.09090909,397,3.176,r
5.299600533,36.18181818,398,3.184,t
5.312916112,36.27272727,399,3.192,y
5.326231691,36.36363636,400,3.2,u
5.33954727,36.45454545,401,3.208,i
5.35286285,36.54545455,402,3.216,o
5.366178429,36.63636364,403,3.224,p
5.379494008,36.72727273,404,3.232,a
5.392809587,36.81818182,405,3.24,s
5.406125166,36.90909091,406,3.248,d
5.419440746,37,407,3.256,f
5.432756325,37.09090909,408,3.264,g
5.446071904,37.18181818,409,3.272,h
5.459387483,37.27272727,410,3.28,j
5.472703063,37.36363636,411,3.288,k
5.486018642,37.45454545,412,3.296,l
5.499334221,37.54545455,413,3.304,z
5.5126498,37.63636364,414,3.312,x
5.525965379,37.72727273,415,3.32,c
5.539280959,37.81818182,416,3.328,v
5.552596538,37.90909091,417,3.336,b
5.565912117,38,418,3.344,n
5.579227696,38.09090909,419,3.352,m
5.592543276,38.18181818,420,3.36,j
5.605858855,38.27272727,421,3.368,k
5.619174434,38.36363636,422,3.376,l
5.632490013,38.45454545,423,3.384,z
5.645805593,38.54545455,424,3.392,f
5.659121172,38.63636364,425,3.4,g
5.672436751,38.72727273,426,3.408,v
5.68575233,38.81818182,427,3.416,b
5.699067909,38.90909091,428,3.424,n
5.712383489,39,429,3.432,m
5.725699068,39.09090909,430,3.44,a
5.739014647,39.18181818,431,3.448,b
5.752330226,39.27272727,432,3.456,f
5.765645806,39.36363636,433,3.464,q
5.778961385,39.45454545,434,3.472,w
5.792276964,39.54545455,435,3.48,e
5.805592543,39.63636364,436,3.488,r
5.818908123,39.72727273,437,3.496,t
5.832223702,39.81818182,438,3.504,y
5.845539281,39.90909091,439,3.512,u
5.85885486,40,440,3.52,i
5.872170439,40.09090909,441,3.528,o
5.885486019,40.18181818,442,3.536,p
5.898801598,40.27272727,443,3.544,a
5.912117177,40.36363636,444,3.552,s
5.925432756,40.45454545,445,3.56,d
5.938748336,40.54545455,446,3.568,f
5.952063915,40.63636364,447,3.576,g
5.965379494,40.72727273,448,3.584,h
5.978695073,40.81818182,449,3.592,j
5.992010652,40.90909091,450,3.6,k
6.005326232,41,451,3.608,l
6.018641811,41.09090909,452,3.616,z
6.03195739,41.18181818,453,3.624,x
6.045272969,41.27272727,454,3.632,c
6.058588549,41.36363636,455,3.64,v
6.071904128,41.45454545,456,3.648,b
6.085219707,41.54545455,457,3.656,n
6.098535286,41.63636364,458,3.664,m
6.111850866,41.72727273,459,3.672,j
6.125166445,41.81818182,460,3.68,k
6.138482024,41.90909091,461,3.688,l
6.151797603,42,462,3.696,z
6.165113182,42.09090909,463,3.704,f
6.178428762,42.18181818,464,3.712,g
6.191744341,42.27272727,465,3.72,v
6.20505992,42.36363636,466,3.728,b
6.218375499,42.45454545,467,3.736,n
6.231691079,42.54545455,468,3.744,m
6.245006658,42.63636364,469,3.752,a
6.258322237,42.72727273,470,3.76,b
6.271637816,42.81818182,471,3.768,f
6.284953395,42.90909091,472,3.776,q
6.298268975,43,473,3.784,w
6.311584554,43.09090909,474,3.792,e
6.324900133,43.18181818,475,3.8,r
6.338215712,43.27272727,476,3.808,t
6.351531292,43.36363636,477,3.816,y
6.364846871,43.45454545,478,3.824,u
6.37816245,43.54545455,479,3.832,i
6.391478029,43.63636364,480,3.84,o
6.404793609,43.72727273,481,3.848,p
6.418109188,43.81818182,482,3.856,a
6.431424767,43.90909091,483,3.864,s
6.444740346,44,484,3.872,d
6.458055925,44.09090909,485,3.88,f
6.471371505,44.18181818,486,3.888,g
6.484687084,44.27272727,487,3.896,h
6.498002663,44.36363636,488,3.904,j
6.511318242,44.45454545,489,3.912,k
6.524633822,44.54545455,490,3.92,l
6.537949401,44.63636364,491,3.928,z
6.55126498,44.72727273,492,3.936,x
6.564580559,44.81818182,493,3.944,c
6.577896138,44.90909091,494,3.952,v
6.591211718,45,495,3.96,b
6.604527297,45.09090909,496,3.968,n
6.617842876,45.18181818,497,3.976,m
6.631158455,45.27272727,498,3.984,j
6.644474035,45.36363636,499,3.992,k
6.657789614,45.45454545,500,4,l
6.671105193,45.54545455,501,4.008,z
6.684420772,45.63636364,502,4.016,f
6.697736352,45.72727273,503,4.024,g
6.711051931,45.81818182,504,4.032,v
6.72436751,45.90909091,505,4.04,b
6.737683089,46,506,4.048,n
6.750998668,46.09090909,507,4.056,m
6.764314248,46.18181818,508,4.064,a
6.777629827,46.27272727,509,4.072,b
6.790945406,46.36363636,510,4.08,f
6.804260985,46.45454545,511,4.088,q
6.817576565,46.54545455,512,4.096,w
6.830892144,46.63636364,513,4.104,e
6.844207723,46.72727273,514,4.112,r
6.857523302,46.81818182,515,4.12,t
6.870838881,46.90909091,516,4.128,y
6.884154461,47,517,4.136,u
6.89747004,47.09090909,518,4.144,i
6.910785619,47.18181818,519,4.152,o
6.924101198,47.27272727,520,4.16,p
6.937416778,47.36363636,521,4.168,a
6.950732357,47.45454545,522,4.176,s
6.964047936,47.54545455,523,4.184,d
6.977363515,47.63636364,524,4.192,f
6.990679095,47.72727273,525,4.2,g
7.003994674,47.81818182,526,4.208,h
7.017310253,47.90909091,527,4.216,j
7.030625832,48,528,4.224,k
7.043941411,48.09090909,529,4.232,l
7.057256991,48.18181818,530,4.24,z
7.07057257,48.27272727,531,4.248,x
7.083888149,48.36363636,532,4.256,c
7.097203728,48.45454545,533,4.264,v
7.110519308,48.54545455,534,4.272,b
7.123834887,48.63636364,535,4.28,n
7.137150466,48.72727273,536,4.288,m
7.150466045,48.81818182,537,4.296,j
7.163781625,48.90909091,538,4.304,k
7.177097204,49,539,4.312,l
7.190412783,49.09090909,540,4.32,z
7.203728362,49.18181818,541,4.328,f
7.217043941,49.27272727,542,4.336,g
7.230359521,49.36363636,543,4.344,v
7.2436751,49.45454545,544,4.352,b
7.256990679,49.54545455,545,4.36,n
7.270306258,49.63636364,546,4.368,m
7.283621838,49.72727273,547,4.376,a
7.296937417,49.81818182,548,4.384,b
7.310252996,49.90909091,549,4.392,f
7.323568575,50,550,4.4,q
7.336884154,50.09090909,551,4.408,w
7.350199734,50.18181818,552,4.416,e
7.363515313,50.27272727,553,4.424,r
7.376830892,50.36363636,554,4.432,t
7.390146471,50.45454545,555,4.44,y
7.403462051,50.54545455,556,4.448,u
7.41677763,50.63636364,557,4.456,i
7.430093209,50.72727273,558,4.464,o
7.443408788,50.81818182,559,4.472,p
7.456724368,50.90909091,560,4.48,a
7.470039947,51,561,4.488,s
7.483355526,51.09090909,562,4.496,d
7.496671105,51.18181818,563,4.504,f
7.509986684,51.27272727,564,4.512,g
7.523302264,51.36363636,565,4.52,h
7.536617843,51.45454545,566,4.528,j
7.549933422,51.54545455,567,4.536,k
7.563249001,51.63636364,568,4.544,l
7.576564581,51.72727273,569,4.552,z
7.58988016,51.81818182,570,4.56,x
7.603195739,51.90909091,571,4.568,c
7.616511318,52,572,4.576,v
7.629826897,52.09090909,573,4.584,b
7.643142477,52.18181818,574,4.592,n
7.656458056,52.27272727,575,4.6,m
7.669773635,52.36363636,576,4.608,j
7.683089214,52.45454545,577,4.616,k
7.696404794,52.54545455,578,4.624,l
7.709720373,52.63636364,579,4.632,z
7.723035952,52.72727273,580,4.64,f
7.736351531,52.81818182,581,4.648,g
7.749667111,52.90909091,582,4.656,v
7.76298269,53,583,4.664,b
7.776298269,53.09090909,584,4.672,n
7.789613848,53.18181818,585,4.68,m
7.802929427,53.27272727,586,4.688,a
7.816245007,53.36363636,587,4.696,b
7.829560586,53.45454545,588,4.704,f
7.842876165,53.54545455,589,4.712,q
7.856191744,53.63636364,590,4.72,w
7.869507324,53.72727273,591,4.728,e
7.882822903,53.81818182,592,4.736,r
7.896138482,53.90909091,593,4.744,t
7.909454061,54,594,4.752,y
7.92276964,54.09090909,595,4.76,u
7.93608522,54.18181818,596,4.768,i
7.949400799,54.27272727,597,4.776,o
7.962716378,54.36363636,598,4.784,p
7.976031957,54.45454545,599,4.792,a
7.989347537,54.54545455,600,4.8,s
8.002663116,54.63636364,601,4.808,d
8.015978695,54.72727273,602,4.816,f
8.029294274,54.81818182,603,4.824,g
8.042609854,54.90909091,604,4.832,h
8.055925433,55,605,4.84,j
8.069241012,55.09090909,606,4.848,k
8.082556591,55.18181818,607,4.856,l
8.09587217,55.27272727,608,4.864,z
8.10918775,55.36363636,609,4.872,x
8.122503329,55.45454545,610,4.88,c
8.135818908,55.54545455,611,4.888,v
8.149134487,55.63636364,612,4.896,b
8.162450067,55.72727273,613,4.904,n
8.175765646,55.81818182,614,4.912,m
8.189081225,55.90909091,615,4.92,j
8.202396804,56,616,4.928,k
8.215712383,56.09090909,617,4.936,l
8.229027963,56.18181818,618,4.944,z
8.242343542,56.27272727,619,4.952,f
8.255659121,56.36363636,620,4.96,g
8.2689747,56.45454545,621,4.968,v
8.28229028,56.54545455,622,4.976,b
8.295605859,56.63636364,623,4.984,n
8.308921438,56.72727273,624,4.992,m
8.322237017,56.81818182,625,5,a
8.335552597,56.90909091,626,5.008,b
8.348868176,57,627,5.016,f
8.362183755,57.09090909,628,5.024,q
8.375499334,57.18181818,629,5.032,w
8.388814913,57.27272727,630,5.04,e
8.402130493,57.36363636,631,5.048,r
8.415446072,57.45454545,632,5.056,t
8.428761651,57.54545455,633,5.064,y
8.44207723,57.63636364,634,5.072,u
8.45539281,57.72727273,635,5.08,i
8.468708389,57.81818182,636,5.088,o
8.482023968,57.90909091,637,5.096,p
8.495339547,58,638,5.104,a
8.508655126,58.09090909,639,5.112,s
8.521970706,58.18181818,640,5.12,d
8.535286285,58.27272727,641,5.128,f
8.548601864,58.36363636,642,5.136,g
8.561917443,58.45454545,643,5.144,h
8.575233023,58.54545455,644,5.152,j
8.588548602,58.63636364,645,5.16,k
8.601864181,58.72727273,646,5.168,l
8.61517976,58.81818182,647,5.176,z
8.62849534,58.90909091,648,5.184,x
8.641810919,59,649,5.192,c
8.655126498,59.09090909,650,5.2,v
8.668442077,59.18181818,651,5.208,b
8.681757656,59.27272727,652,5.216,n
8.695073236,59.36363636,653,5.224,m
8.708388815,59.45454545,654,5.232,j
8.721704394,59.54545455,655,5.24,k
8.735019973,59.63636364,656,5.248,l
8.748335553,59.72727273,657,5.256,z
8.761651132,59.81818182,658,5.264,f
8.774966711,59.90909091,659,5.272,g
8.78828229,60,660,5.28,v
8.80159787,60.09090909,661,5.288,b
8.814913449,60.18181818,662,5.296,n
8.828229028,60.27272727,663,5.304,m
8.841544607,60.36363636,664,5.312,a
8.854860186,60.45454545,665,5.32,b
8.868175766,60.54545455,666,5.328,f
8.881491345,60.63636364,667,5.336,q
8.894806924,60.72727273,668,5.344,w
8.908122503,60.81818182,669,5.352,e
8.921438083,60.90909091,670,5.36,r
8.934753662,61,671,5.368,t
8.948069241,61.09090909,672,5.376,y
8.96138482,61.18181818,673,5.384,u
8.974700399,61.27272727,674,5.392,i
8.988015979,61.36363636,675,5.4,o
9.001331558,61.45454545,676,5.408,p
9.014647137,61.54545455,677,5.416,a
9.027962716,61.63636364,678,5.424,s
9.041278296,61.72727273,679,5.432,d
9.054593875,61.81818182,680,5.44,f
9.067909454,61.90909091,681,5.448,g
9.081225033,62,682,5.456,h
9.094540613,62.09090909,683,5.464,j
9.107856192,62.18181818,684,5.472,k
9.121171771,62.27272727,685,5.48,l
9.13448735,62.36363636,686,5.488,z
9.147802929,62.45454545,687,5.496,x
9.161118509,62.54545455,688,5.504,c
9.174434088,62.63636364,689,5.512,v
9.187749667,62.72727273,690,5.52,b
9.201065246,62.81818182,691,5.528,n
9.214380826,62.90909091,692,5.536,m
9.227696405,63,693,5.544,j
9.241011984,63.09090909,694,5.552,k
9.254327563,63.18181818,695,5.56,l
9.267643142,63.27272727,696,5.568,z
9.280958722,63.36363636,697,5.576,f
9.294274301,63.45454545,698,5.584,g
9.30758988,63.54545455,699,5.592,v
9.320905459,63.63636364,700,5.6,b
9.334221039,63.72727273,701,5.608,n
9.347536618,63.81818182,702,5.616,m
9.360852197,63.90909091,703,5.624,a
9.374167776,64,704,5.632,b
9.387483356,64.09090909,705,5.64,f
9.400798935,64.18181818,706,5.648,q
9.414114514,64.27272727,707,5.656,w
9.427430093,64.36363636,708,5.664,e
9.440745672,64.45454545,709,5.672,r
9.454061252,64.54545455,710,5.68,t
9.467376831,64.63636364,711,5.688,y
